

年歲對照表
西元 	民國 	日治時代 	農曆歲次 	        	生肖
西元 1976 年 	民國 65年 	昭和 51 年 	丙辰 	  	龍
西元 1977 年 	民國 66年 	昭和 52 年 	丁巳 	  	蛇
西元 1978 年 	民國 67年 	昭和 53 年 	戊午 	  	馬
西元 1979 年 	民國 68年 	昭和 54 年 	己未 	  	羊
西元 1980 年 	民國 69年 	昭和 55 年 	庚申 	  	猴
西元 1981 年 	民國 70年 	昭和 56 年 	辛酉 	  	雞
西元 1982 年 	民國 71年 	昭和 57 年 	壬戌 	  	狗
西元 1983 年 	民國 72年 	昭和 58 年 	癸亥 	  	豬
西元 1984 年 	民國 73年 	昭和 59 年 	甲子 	  	鼠
西元 1985 年 	民國 74年 	昭和 60 年 	乙丑 	  	牛
西元 1986 年 	民國 75年 	昭和 61 年 	丙寅 	  	虎
西元 1987 年 	民國 76年 	昭和 62 年 	丁卯 	  	兔
西元 1988 年 	民國 77年 	昭和 63 年 	戊辰 	  	龍
西元 1989 年 	民國 78年 	平成 1 年 	己巳 	  	蛇
西元 1990 年 	民國 79年 	平成 2 年 	庚午 	  	馬
西元 1991 年 	民國 80年 	平成 3 年 	辛未 	  	羊
西元 1992 年 	民國 81年 	平成 4 年 	壬申 	  	猴
西元 1993 年 	民國 82年 	平成 5 年 	癸酉 	  	雞
西元 1994 年 	民國 83年 	平成 6 年 	甲戌 	  	狗
西元 1995 年 	民國 84年 	平成 7 年 	乙亥 	  	豬
西元 1996 年 	民國 85年 	平成 8 年 	丙子 	  	鼠
西元 1997 年 	民國 86年 	平成 9 年 	丁丑 	  	牛
西元 1998 年 	民國 87年 	平成 10 年 	戊寅 	  	虎
西元 1999 年 	民國 88年 	平成 11 年 	己卯 	  	兔
西元 2000 年 	民國 89年 	平成 12 年 	庚辰 	  	龍
西元 2001 年 	民國 90年 	平成 13 年 	辛巳 	  	蛇
西元 2002 年 	民國 91年 	平成 14 年 	壬午 	  	馬
西元 2003 年 	民國 92年 	平成 15 年 	癸未 	  	羊
西元 2004 年 	民國 93年 	平成 16 年 	甲申 	  	猴
西元 2005 年 	民國 94年 	平成 17 年 	乙酉 	  	雞
西元 2006 年 	民國 95年 	平成 18 年 	丙戌 	  	狗
西元 2007 年 	民國 96年 	平成 19 年 	丁亥 	  	豬
西元 2008 年 	民國 97年 	平成 20 年 	戊子 	  	鼠
西元 2009 年 	民國 98年 	平成 21 年 	己丑 	  	牛
西元 2010 年 	民國 99年 	平成 22 年 	庚寅 	  	虎
西元 2011 年 	民國 100年 	平成 23 年 	辛卯 	  	兔
西元 2012 年 	民國 101年 	平成 24 年 	壬辰 	  	龍
